번호,개방자치단체코드,관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y)
25,5410000,5.41E+17,1999-02-25,3,폐업,2,폐업,055-533-4949,경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반,경상남도 창녕군 창녕읍 창녕대로 20-1,50322,창생동물병원,2014-04-01 13:36,I,2018-08-31 23:59,335110.7422,227877.7935
26,5410000,5.41E+17,1964-11-02,3,폐업,2,폐업,,경상남도 창녕군 이방면 거남리 397-1번지,경상남도 창녕군 이방면 이방로 976,50300,이방가축병원&lt;산업동물출장진료전문병원&gt;,2017-07-12 17:01,I,2018-08-31 23:59,325178.431,234541.6419
27,5410000,5.41E+17,1967-12-07,3,폐업,2,폐업,055-526-2140,경상남도 창녕군 남지읍 남지리 612-15번지 3통1반,경상남도 창녕군 남지읍 선창길 10-1,50361,우리가축병원,2014-04-01 13:29,I,2018-08-31 23:59,334564.8855,210887.4137
28,5410000,5.41E+17,1963-04-11,3,폐업,2,폐업,,경상남도 창녕군 영산면 서리 110-3 5통3반,경상남도 창녕군 영산면 로터리길 38,50345,영산가축병원&lt;산업동물출장진료전문병원&gt;,2023-02-07 15:07,U,2023-02-09 2:40,338841.878,218297.4772
29,5420000,5.42E+17,1997-12-29,3,폐업,2,폐업,674-7194,경상남도 고성군 고성읍 서외리 1-6번지 한솔메르빌 상가 나동109호,,,백호종합동물병원,2015-07-24 9:18,I,2018-08-31 23:59,320739.8741,165048.409
30,5420000,5.42E+17,2013-08-23,3,폐업,2,폐업,673-7194,경상남도 고성군 고성읍 서외리 1-6번지,경상남도 고성군 고성읍 중앙로15번길 62,52942,경남수의 동물병원,2019-10-11 20:15,U,2019-10-13 2:40,320739.8741,165048.409
31,5420000,5.42E+17,2000-07-01,3,폐업,2,폐업,674-6680,경상남도 고성군 고성읍 동외리 287-12번지,경상남도 고성군 고성읍 동외로 163-14,52942,고성동물병원,2015-07-24 9:11,I,2018-08-31 23:59,320950.1085,164915.5188
32,5420000,5.42E+17,2000-07-06,3,폐업,2,폐업,674-8061,경상남도 고성군 고성읍 송학리 125-3번지,,,동양가축약품병원,2004-12-27 11:09,I,2018-08-31 23:59,322053.012,165549.4906
33,5460000,5.46E+17,2003-03-15,3,폐업,2,폐업,,경상남도 함양군 수동면 화산리 1251-2,경상남도 함양군 수동면 수동길 17,,중앙동물병원,2021-04-09 18:12,U,2021-04-11 2:40,271296.1155,224987.9549
34,5460000,5.46E+17,2003-03-15,3,폐업,2,폐업,,경상남도 함양군 안의면 금천리 121-3번지,경상남도 함양군 안의면 종로길 5-1,,고려동물병원,2020-03-31 13:18,U,2020-04-02 2:40,273542.7016,236786.992
35,4610000,4.61E+17,1989-07-05,3,폐업,2,폐업,,충청남도 예산군 예산읍 주교리 225-9번지,,,한일 동물병원,2007-01-04 15:55,I,2018-08-31 23:59,,
36,4610000,4.61E+17,1994-01-20,3,폐업,2,폐업,,충청남도 예산군 예산읍 예산리 581-2번지,,,협동 동물병원,2009-04-14 10:11,I,2018-08-31 23:59,,
37,4610000,4.61E+17,2001-07-16,3,폐업,2,폐업,338-1928,충청남도 예산군 고덕면 대천리 770-13번지,,,예당 동물병원,2003-10-13 13:51,I,2018-08-31 23:59,,
38,4610000,4.61E+17,2003-10-13,3,폐업,2,폐업,,충청남도 예산군 고덕면 대천리 770-13번지,,,예당동물병원,2008-01-07 13:41,I,2018-08-31 23:59,,
39,4610000,4.61E+17,2008-01-09,3,폐업,2,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2008-02-19 10:00,I,2018-08-31 23:59,,
40,4610000,4.61E+17,2008-02-21,3,폐업,2,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2008-10-08 10:20,I,2018-08-31 23:59,,
41,4610000,4.61E+17,2008-10-09,3,폐업,2,폐업,041-338-2928,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2012-08-29 14:31,I,2018-08-31 23:59,,
42,4610000,4.61E+17,2009-02-19,3,폐업,2,폐업,,충청남도 예산군 예산읍 주교리 225-9   번지,,,한일동물병원,2011-09-20 9:35,I,2018-08-31 23:59,,
43,4610000,4.61E+17,2010-03-09,3,폐업,2,폐업,,충청남도 예산군 예산읍 주교리 279-5번지,,,대성인터내셔널동물병원,2010-03-24 14:38,I,2018-08-31 23:59,184683.1803,353486.222
44,4490000,4.49E+17,1999-10-22,3,폐업,2,폐업,,충청남도 천안시 동남구 쌍용동 1951번지,,,맑은,2005-08-04 13:27,I,2018-08-31 23:59,,
45,4490000,4.49E+17,2000-03-06,3,폐업,2,폐업,555-7008,충청남도 천안시 동남구 병천면 병천리 209-2번지,,,아우내,2005-12-27 15:26,I,2018-08-31 23:59,226599.4628,362153.5477
46,4490000,4.49E+17,2000-11-16,3,폐업,2,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-742 번지,,,용,2009-09-24 9:29,I,2018-08-31 23:59,,
47,4490000,4.49E+17,2001-05-23,3,폐업,2,폐업,,충청남도 천안시 동남구 쌍용동 198-1번지,,,늘푸른동물병원(신방점),2005-08-18 10:21,I,2018-08-31 23:59,,
48,4490000,4.49E+17,1994-08-19,3,폐업,2,폐업,,충청남도 천안시 서북구 성환읍 성환리 432-4,충청남도 천안시 서북구 성환읍 성환중앙로 18,31016,한샘동물병원,2021-05-06 16:15,U,2021-05-08 2:40,211464.1239,379337.5213
49,4490000,4.49E+17,2002-04-11,3,폐업,2,폐업,,충청남도 천안시 동남구 쌍용동 2030번지,,,가람,2006-01-13 16:07,I,2018-08-31 23:59,,
50,4490000,4.49E+17,2002-04-15,3,폐업,2,폐업,,충청남도 천안시 동남구 신부동 85번지 대아@ 상가 102동 105호,"충청남도 천안시 동남구 충절로 42, 102동 105호 (신부동,대아@ 상가)",,대아,2004-04-14 12:56,I,2018-08-31 23:59,213981.5615,368225.4753
51,4490000,4.49E+17,2002-05-15,3,폐업,2,폐업,,충청남도 천안시 동남구 원성동 597-2번지,충청남도 천안시 동남구 원거리9길 4 (원성동),,신대원,2003-06-04 18:25,I,2018-08-31 23:59,213708.6782,366544.575
52,4490000,4.49E+17,2002-10-30,3,폐업,2,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-118 번지,,,성환,2004-08-05 9:55,I,2018-08-31 23:59,,
53,4490000,4.49E+17,2002-12-05,3,폐업,2,폐업,578-4575,충청남도 천안시 동남구 신방동 784-9번지 홈플러스 1층,"충청남도 천안시 동남구 신촌1길 23 (신방동, 홈플러스 1층)",31177,쿨펫 천안신방점,2016-06-30 16:26,I,2018-08-31 23:59,210681.5203,365092.8134
54,4490000,4.49E+17,2003-04-25,3,폐업,2,폐업,041-579-1072,충청남도 천안시 동남구 쌍용동 695번지,,,쌍용동물병원,2004-05-25 11:22,I,2018-08-31 23:59,,
55,4490000,4.49E+17,2003-12-10,3,폐업,2,폐업,558-7511,충청남도 천안시 서북구 성정동 1485번지 롯데마트 3층,"충청남도 천안시 서북구 성정두정로 1 (성정동,롯데마트 3층)",,아야야 동물병원,2004-08-30 17:48,I,2018-08-31 23:59,212478.6637,369462.286
56,4490000,4.49E+17,2004-03-17,3,폐업,2,폐업,554-7860,충청남도 천안시 서북구 부대동 139-11 번지,,,대원동물병원,2004-04-22 17:30,I,2018-08-31 23:59,,
57,4490000,4.49E+17,2004-03-26,3,폐업,2,폐업,556-0275,충청남도 천안시 서북구 성정동 1123번지 탑존빌딩102호,"충청남도 천안시 서북구 서부대로 696 (성정동,탑존빌딩102호)",,도끄메리쫑 동물병원,2010-10-04 15:26,I,2018-08-31 23:59,211846.6284,369757.7706
58,4490000,4.49E+17,2004-06-25,3,폐업,2,폐업,554-7860,충청남도 천안시 서북구 부대동 139-11 번지,,,대원동물병원,2004-08-26 16:58,I,2018-08-31 23:59,,
59,4610000,4.61E+17,2011-10-06,3,폐업,2,폐업,,충청남도 예산군 예산읍 산성리 304-16번지,충청남도 예산군 예산읍 역전로 121,,닥터차동물병원,2019-12-02 19:58,U,2019-12-04 2:40,184714.4531,354323.6335
60,4610000,4.61E+17,2012-08-30,3,폐업,2,폐업,,충청남도 예산군 고덕면 대천리 770-13번지,충청남도 예산군 고덕면 고덕중앙로 68,,예당가축병원,2014-05-15 13:26,I,2018-08-31 23:59,173512.1625,360498.3938
61,4610000,4.61E+17,2013-03-19,3,폐업,2,폐업,070-8865-0194,충청남도 예산군 예산읍 산성리 682-1번지 샤인하우스 206호,"충청남도 예산군 예산읍 역전로125번길 42, 206호 (샤인하우스)",,푸른동물병원,2019-08-30 15:07,U,2019-09-01 2:40,184704.788,354679.6501
62,4610000,4.61E+17,2015-09-15,3,폐업,2,폐업,041-338-7542,,충청남도 예산군 덕산면 수암산로 160,32406,LG동물병원,2016-12-30 16:00,I,2018-08-31 23:59,170554.1843,354348.6085
63,4610000,4.61E+17,2016-01-25,3,폐업,2,폐업,041-338-6555,충청남도 예산군 고덕면 대천리 778번지,충청남도 예산군 고덕면 대천3길 30,32403,한울산업동물병원,2016-07-25 16:55,I,2018-08-31 23:59,173694.3323,360381.4965
64,4610000,4.61E+17,2016-07-26,3,폐업,2,폐업,,충청남도 예산군 고덕면 대천리 778번지,충청남도 예산군 고덕면 대천3길 30,32403,한울산업동물병원,2019-07-01 14:35,U,2019-07-03 2:40,173694.3323,360381.4965
65,4610000,4.61E+17,2017-05-04,3,폐업,2,폐업,,충청남도 예산군 고덕면 대천리 728-18,충청남도 예산군 고덕면 황금뜰로 215,32403,윤동물병원·약품(출장진료전문),2022-11-20 22:06,U,2022-11-22 2:40,173519.5753,360610.2804
66,4490000,5.65E+17,2013-05-03,3,폐업,2,폐업,041-564-0075,충청남도 천안시 동남구 신부동 388-2번지 천광빌딩 나동 101호,"충청남도 천안시 동남구 대흥로 333, 나동 101호 (신부동, 천광빌딩)",31121,열린동물병원,2016-06-23 17:30,I,2018-08-31 23:59,213407.5953,368466.874
67,4490000,5.65E+17,2015-01-09,3,폐업,2,폐업,,충청남도 천안시 동남구 삼룡동 140-3,충청남도 천안시 동남구 무남길 16 (삼룡동),31070,서일가축병원,2023-01-16 11:16,U,2023-01-19 2:40,215249.9065,364733.8741
68,4490000,5.65E+17,2015-07-17,3,폐업,2,폐업,,충청남도 천안시 동남구 쌍용동 555-2번지 쌍용신성아파트,"충청남도 천안시 동남구 순천향1길 16, 2층 203호 (쌍용동, 쌍용신성아파트)",31151,건국동물병원(산업동물에 대한 출장진료를 전문으로 함),2020-06-15 19:01,U,2020-06-17 2:40,211780.8415,366648.7089
69,4490000,5.65E+17,2015-08-07,3,폐업,2,폐업,557-8275,충청남도 천안시 동남구 신부동 88-3번지,충청남도 천안시 동남구 충절로 35 (신부동),31125,88동물의료원,2016-01-11 17:16,I,2018-08-31 23:59,214080.0302,368281.3597
70,4490000,5.65E+17,2016-01-14,3,폐업,2,폐업,041-557-8275,충청남도 천안시 동남구 신부동 88-3번지,충청남도 천안시 동남구 충절로 35-0 (신부동),31125,88동물의료원천안아산동물병원,2018-03-25 13:55,I,2018-08-31 23:59,214080.0302,368281.3597
71,4490000,4.49E+17,1976-02-13,3,폐업,2,폐업,581-2842,충청남도 천안시 서북구 성환읍 성환리 449-68번지,,,송,2006-01-24 16:10,I,2018-08-31 23:59,211401.3514,379384.0886
72,4490000,4.49E+17,1980-07-25,3,폐업,2,폐업,,충청남도 천안시 동남구 영성동 118번지,,,천안,2006-03-03 16:30,I,2018-08-31 23:59,,
73,4490000,4.49E+17,1983-05-14,3,폐업,2,폐업,,충청남도 천안시 동남구 봉명동 368번지,충청남도 천안시 동남구 쌍용대로 187 (봉명동),,서부종합,2006-04-18 10:36,I,2018-08-31 23:59,211900.0472,368096.638
74,4490000,5.65E+17,2016-09-20,3,폐업,2,폐업,,충청남도 천안시 동남구 목천읍 운전리 368-17,충청남도 천안시 동남구 목천읍 남부대로 1012,31234,S&amp;P Bio,2022-04-29 10:02,U,2022-05-01 2:40,220049.1832,363360.196
75,4490000,5.66E+17,2009-04-02,3,폐업,2,폐업,558-1475,충청남도 천안시 서북구 성성동 366번지 108호,"충청남도 천안시 서북구 공단로 95, 108호 (성성동)",,마일스톤 피그 클리닉,2011-09-07 10:55,I,2018-08-31 23:59,210848.6664,371462.0128
76,4490000,5.66E+17,2009-08-14,3,폐업,2,폐업,585-8164,충청남도 천안시 서북구 성환읍 매주리 322번지,,,천성벳동물병원,2010-04-12 10:31,I,2018-08-31 23:59,211334.7134,378959.2048
77,4490000,4.49E+17,1992-05-21,3,폐업,2,폐업,573-7575,충청남도 천안시 동남구 봉명동 39-21번지,,,정동물병원,2008-01-09 13:00,I,2018-08-31 23:59,212390.5847,367031.9662
78,4490000,4.49E+17,1995-02-08,3,폐업,2,폐업,564-6242,충청남도 천안시 동남구 병천면 병천리 191-1번지,충청남도 천안시 동남구 병천면 충절로 1757-6,31254,전종한동물병원,2017-09-29 13:29,I,2018-08-31 23:59,226729.7752,362407.1393
79,4490000,4.49E+17,1995-11-21,3,폐업,2,폐업,553-9439,충청남도 천안시 동남구 원성동 518-13번지,충청남도 천안시 동남구 버들로 146 (원성동),,신천안,2003-12-10 16:44,I,2018-08-31 23:59,214431.0981,367207.2407
80,4490000,5.66E+17,2012-04-03,3,폐업,2,폐업,541-7552,충청남도 천안시 서북구 불당동 1289번지 펜타포트 지하1층 이마트,"충청남도 천안시 서북구 공원로 196, 지하1층 (불당동, 펜타포트 이마트)",31168,쿨펫동물병원,2013-04-29 9:08,I,2018-08-31 23:59,208976.4765,366326.6344
81,4400000,4.40E+17,2005-09-30,3,폐업,2,폐업,,충청북도 제천시 영천동 500번지,,,PETRIA 애견종합동물병원,2007-02-26 11:06,I,2018-08-31 23:59,307109.2889,403895.7542
82,4400000,4.40E+17,2009-09-30,3,폐업,2,폐업,043-652-0075,충청북도 제천시 중앙로2가 69-9번지,충청북도 제천시 의림대로 182-1 (중앙로2가),27166,제천종합동물병원,2019-07-17 16:06,U,2019-07-19 2:40,307762.4035,405329.1137
83,4400000,4.40E+17,2009-12-23,3,폐업,2,폐업,043-653-7533,충청북도 제천시 강제동 684번지 이마트 3층,,,펫프렌즈동물병원 제천,2011-03-11 18:07,I,2018-08-31 23:59,308612.066,403106.4134
84,4400000,4.40E+17,2010-11-02,3,폐업,2,폐업,,충청북도 제천시 하소동 72-5   번지 (롯데마트 2층),,,쿨펫동물병원,2012-01-02 12:59,I,2018-08-31 23:59,,
85,4470000,4.47E+17,1992-10-09,3,폐업,2,폐업,,충청북도 음성군 금왕읍 무극리 244-3번지,충청북도 음성군 금왕읍 무극로 290,,무극동물병원,2012-10-02 17:03,I,2018-08-31 23:59,252786.0635,388082.6832
86,4470000,4.47E+17,1995-05-16,3,폐업,2,폐업,043-877-5770,충청북도 음성군 대소면 오류리 1-12번지,충청북도 음성군 대소면 새미실길45번길 141,,(주)팜스코 축산기술센타,2009-09-21 15:31,I,2018-08-31 23:59,243130.5246,387541.8665
87,4470000,4.47E+17,2003-08-19,3,폐업,2,폐업,883-1040,충청북도 음성군 금왕읍 무극리 249-5번지,충청북도 음성군 금왕읍 무극로 274,,본 동물병원,2008-09-24 11:00,I,2018-08-31 23:59,252641.7483,388034.0961
88,4470000,4.47E+17,2007-02-13,3,폐업,2,폐업,,충청북도 음성군 대소면 오류리 605-18번지 음성IC 타운 106호,"충청북도 음성군 대소면 대금로 205, 106호 (음성IC 타운)",,청림한별동물병원,2009-04-20 11:50,I,2018-08-31 23:59,241414.6195,386599.6231
89,4470000,4.47E+17,2009-04-22,3,폐업,2,폐업,,충청북도 음성군 금왕읍 백야리 산 13번지,,,음성군 야생동물구조관리사업소,2011-06-01 15:57,I,2018-08-31 23:59,,
90,4470000,4.47E+17,2016-04-08,3,폐업,2,폐업,043-883-7633,충청북도 음성군 감곡면 원당리 191-3번지,"충청북도 음성군 감곡면 음성로 2164, 한길동물병원",27613,한길동물병원 (출장진료전문병원),2019-12-12 15:20,U,2019-12-14 2:40,254716.6213,397274.1399
91,4470000,4.47E+17,2013-03-07,3,폐업,2,폐업,438828975,충청북도 음성군 금왕읍 무극리 356-12번지,충청북도 음성군 금왕읍 음성로 1203,27628,테오종합동물병원,2016-02-17 14:34,I,2018-08-31 23:59,253182.9698,388455.6002
92,4470000,4.47E+17,2016-02-18,3,폐업,2,폐업,043-882-8975,충청북도 음성군 금왕읍 무극리 356-12번지,충청북도 음성군 금왕읍 음성로 1203,27628,테오동물병원,2019-06-07 8:39,U,2019-06-09 2:40,253182.9698,388455.6002
93,4470000,4.47E+17,2011-06-16,3,폐업,2,폐업,043-878-7118,충청북도 음성군 금왕읍 백야리 산 13번지,,,충북야생동물센터,2014-07-30 10:01,I,2018-08-31 23:59,,
94,4400000,4.40E+17,1980-07-03,3,폐업,2,폐업,043-647-2762,충청북도 제천시 화산동 193-14  번지,,,협신동물병원,2014-08-18 14:57,I,2018-08-31 23:59,,
95,4400000,4.40E+17,1980-07-03,3,폐업,2,폐업,043-643-3037,충청북도 제천시 명동 11-9번지,,,한일동물병원,2007-01-15 16:40,I,2018-08-31 23:59,307181.4996,404632.4359
96,4400000,4.40E+17,1991-04-30,3,폐업,2,폐업,043-644-9677,충청북도 제천시 청전동 700번지 54통2반,충청북도 제천시 내제로29나길 5 (청전동),27153,현대동물병원,2019-04-09 14:02,U,2019-04-11 2:40,307597.99,405886.7352
97,4400000,4.40E+17,1996-09-12,3,폐업,2,폐업,043-644-5575,충청북도 제천시 청전동 13-8 번지,,,나라동물병원,2012-02-29 11:35,I,2018-08-31 23:59,,
98,4400000,4.40E+17,1997-10-17,3,폐업,2,폐업,043-645-7533,충청북도 제천시 중앙로2가 81-9   번지,,,화랑동물병원,2006-07-25 13:22,I,2018-08-31 23:59,,
99,3070000,3.07E+17,2000-09-05,3,폐업,2,폐업,,서울특별시 성북구 동소문동3가 32번지,서울특별시 성북구 동소문로 36 (동소문동3가),2860,베스트종합동물병원,2018-04-02 15:04,I,2018-08-31 23:59,200822.346,454182.3301
100,3070000,3.07E+17,2001-02-03,3,폐업,2,폐업,941-7800,서울특별시 성북구 정릉동 1393-0   번지,,,북악동물병원,2007-06-04 14:10,I,2018-08-31 23:59,,
101,3070000,3.07E+17,2001-05-14,3,폐업,2,폐업,929-1212,서울특별시 성북구 종암동 68-1   번지,,,청솔동물병원,2004-03-04 14:48,I,2018-08-31 23:59,,
102,3070000,3.07E+17,2001-05-25,3,폐업,2,폐업,989-6763,서울특별시 성북구 길음동 525-175번지,,,펫케어동물병원,2008-01-08 17:12,I,2018-08-31 23:59,202228.1096,455880.9213
103,3110000,3.11E+17,2015-02-26,3,폐업,2,폐업,02-3152-8575,서울특별시 은평구 수색동 75번지 수색자이 1단지 107호,"서울특별시 은평구 수색로 217 (수색동, 수색자이 1단지 107호)",3504,조은동물병원,2018-01-31 15:39,I,2018-08-31 23:59,190977.8506,453037.788
104,3110000,3.11E+17,2015-03-27,3,폐업,2,폐업,02-307-7502,서울특별시 은평구 증산동 162-20번지 102호,"서울특별시 은평구 증산서길 132, 102호 (증산동)",3497,아리동물병원,2018-02-13 14:37,I,2018-08-31 23:59,192058.6088,453808.9231
105,3110000,3.11E+17,2015-05-26,3,폐업,2,폐업,02-969-7582,서울특별시 은평구 응암동 194-25,서울특별시 은평구 백련산로 143 (응암동),3463,스머프동물병원,2021-07-09 15:42,U,2021-07-11 2:40,193301.5943,455083.7795
106,3210000,3.21E+17,2009-07-31,3,폐업,2,폐업,,서울특별시 서초구 방배동 951-3번지 대진빌딩1층,"서울특별시 서초구 서초대로4길 4 (방배동,대진빌딩1층)",,화인종합동물병원,2018-04-30 15:22,I,2018-08-31 23:59,198622.4594,442586.3005
107,3110000,3.11E+17,2000-08-02,3,폐업,2,폐업,376-7001,서울특별시 은평구 증산동 168-2   번지,,,신동물병원,2011-05-31 12:15,I,2018-08-31 23:59,,
108,3110000,3.11E+17,2001-11-02,3,폐업,2,폐업,387-7582,서울특별시 은평구 대조동 231번지 삼성타운 101-122,,,유종합동물병원,2007-03-21 10:25,I,2018-08-31 23:59,193019.4034,456302.9288
109,3110000,3.11E+17,2002-05-28,3,폐업,2,폐업,382-7566,서울특별시 은평구 대조동 179-16번지,서울특별시 은평구 서오릉로 80 (대조동),3395,은평동물병원,2012-01-02 17:53,I,2018-08-31 23:59,193059.5369,456143.2369
110,3210000,3.21E+17,1995-05-11,3,폐업,2,폐업,546-9005,서울특별시 서초구 반포동 747-12  번지,,,닥터은동물병원,2009-06-05 10:27,I,2018-08-31 23:59,,
111,3210000,3.21E+17,2013-04-01,3,폐업,2,폐업,598-9875,서울특별시 서초구 서초동 1648-9,"서울특별시 서초구 사임당로 97, 1층 (서초동)",6637,강남서초 동물병원,2022-12-29 14:58,U,2022-12-31 2:40,201731.7903,443120.3937
112,3210000,3.21E+17,2005-12-09,3,폐업,2,폐업,5867505,"서울특별시 서초구 서초동 1336번지 서초우성쇼핑센타120호,121호",,,우성메디펫동물병원,2016-12-30 14:32,I,2018-08-31 23:59,,
113,3210000,3.21E+17,2004-04-01,3,폐업,2,폐업,,서울특별시 서초구 잠원동 60-3번지 매일종합상가 223호,,,잠원동물병원,2005-01-26 17:49,I,2018-08-31 23:59,201024.4814,445492.3342
114,3140000,3.14E+17,1994-07-07,3,폐업,2,폐업,2608-5886,서울특별시 양천구 신월동 512-7번지,서울특별시 양천구 신월로 199 (신월동),,신월동물병원,2008-08-20 20:03,I,2018-08-31 23:59,186179.7368,446472.4121
